customer_ref,application_id,application_hour,application_day_of_week,account_open_year,preferred_contact,referral_code,account_status_code,num_login_sessions,num_customer_service_calls,has_mobile_app,paperless_billing,age,annual_income,employment_length,employment_type,education,marital_status,num_dependents,monthly_income,existing_monthly_debt,monthly_payment,debt_to_income_ratio,debt_service_ratio,payment_to_income_ratio,credit_utilization,revolving_balance,credit_usage_amount,available_credit,total_monthly_debt_payment,annual_debt_payment,loan_to_annual_income,total_debt_amount,monthly_free_cash_flow,state,regional_unemployment_rate,regional_median_income,regional_median_rent,housing_price_index,cost_of_living_index,loan_type,loan_amount,loan_term,interest_rate,loan_purpose,loan_to_value_ratio,origination_channel,loan_officer_id,marketing_campaign,credit_score,num_credit_accounts,oldest_credit_line_age,oldest_account_age_months,total_credit_limit,num_delinquencies_2yrs,num_inquiries_6mo,recent_inquiry_count,num_public_records,num_collections,account_diversity_index
100000,618540,21,0,2018,Email,REF0000,Active1,12,2,0,0,57,52300.0,11.7,Self-employed,Some College,Divorced,0,4358.0,1024.36,522.79,0.355,0.35498661567877626,0.12,0.354,49772.4,49772.4,90827.6,1547.1499999999999,18565.8,0.21606118546845124,61072.4,2811.18,TN,4.1,53000.0,1400.0,99.0,73.0,Personal,11300.0,24,10.26,Debt Consolidation,0.0,Online,1066,T,770,8,1.5,18.0,140600.0,0.0,1,1,0,0,0.25
100001,589784,9,6,2021,Phone,REF0000,Active1,10,4,0,1,41,45700.0,5.5,Self-employed,High School,Married,1,3808.33,1206.09,204.0,0.37,0.3702643326039387,0.054,0.282,25492.8,25492.8,64907.2,1410.09,16921.079999999998,0.1487964989059081,32292.8,2398.24,CA,5.6,75000.0,1580.0,161.0,130.0,Credit Card,6800.0,0,17.74,Revolving Credit,0.0,Branch,1041,B,733,7,14.6,175.2,90400.0,0.0,1,1,0,0,0.284
100002,554219,10,4,2019,Phone,REF0000,Active1,4,3,1,1,22,20000.0,4.4,Part-time,Graduate,Single,1,1666.67,259.53,102.0,0.217,0.21691799999999997,0.061,0.377,12214.8,12214.8,20185.2,361.53,4338.36,0.17,15614.8,1305.14,NY,4.9,72000.0,1740.0,138.0,118.0,Credit Card,3400.0,0,19.42,Revolving Credit,0.0,Online,1001,W,660,0,4.0,48.0,32400.0,0.0,5,5,0,1,0.05
100003,613505,3,4,2011,Email,REF0000,Active2,7,0,1,0,27,44300.0,8.0,Full-time,High School,Single,1,3691.67,1117.2,360.0,0.4,0.4001444695259594,0.098,0.365,14271.5,14271.5,24828.5,1477.2,17726.4,0.2708803611738149,26271.5,2214.47,MA,4.0,81000.0,1770.0,140.0,116.0,Credit Card,12000.0,0,20.95,Revolving Credit,0.0,Online,1098,D,605,14,9.0,108.0,39100.0,0.0,0,0,0,0,0.347
100004,571219,9,1,2021,Email,REF0000,Active1,6,0,1,0,32,41100.0,0.9,Full-time,Bachelor,Single,3,3425.0,712.04,1860.3,0.751,0.7510481751824818,0.543,0.49,23471.0,23471.0,24429.0,2572.34,30868.08,6.810218978102189,303371.0,852.66,IL,4.8,65000.0,1520.0,96.0,86.0,Mortgage,279900.0,360,6.99,Refinance,0.798,Online,1067,H,721,5,8.7,104.39999999999999,47900.0,0.0,2,2,1,0,0.239
100005,556088,13,1,2021,Email,REF0000,A01,9,5,0,1,32,49000.0,1.1,Contract,Graduate,Married,1,4083.0,542.74,96.0,0.156,0.15642612244897958,0.024,0.253,24439.8,24439.8,72160.2,638.74,7664.88,0.0653061224489796,27639.8,3444.59,CA,5.7,75000.0,1630.0,153.0,128.0,Credit Card,3200.0,0,16.87,Revolving Credit,0.0,Branch,1049,O,725,2,11.3,135.60000000000002,96600.0,0.0,2,2,0,0,0.154
100006,561098,8,2,2020,Email,REF0000,A01,8,1,1,1,35,68900.0,5.3,Self-employed,Graduate,Single,2,5742.0,681.29,2250.0,0.511,0.5105294629898404,0.392,0.268,18974.4,18974.4,51825.6,2931.29,35175.479999999996,5.577648766328012,403274.4,2810.38,TX,4.5,61000.0,1440.0,108.0,93.0,Mortgage,384300.0,360,5.78,Home Purchase,0.864,Branch,997,D,708,12,5.2,62.400000000000006,70800.0,0.0,1,1,0,0,0.26
100007,580027,23,5,2016,Email,REF0000,Active1,5,3,1,1,30,48200.0,7.5,Part-time,Bachelor,Married,0,4016.67,1459.12,692.41,0.536,0.535650622406639,0.172,0.439,14574.8,14574.8,18625.2,2151.5299999999997,25818.359999999997,2.1058091286307055,116074.8,1865.14,FL,4.5,55000.0,1270.0,116.0,89.0,Mortgage,101500.0,360,7.25,Home Purchase,0.741,Online,1078,F,708,8,12.0,144.0,33200.0,0.0,2,2,0,0,0.37
100008,599339,21,0,2021,Phone,REF0000,A01,12,4,1,1,52,102800.0,9.1,Full-time,Graduate,Divorced,0,8566.67,3239.85,90.0,0.389,0.3886984435797666,0.011,0.153,46588.5,46588.5,257911.5,3329.85,39958.2,0.029182879377431907,49588.5,5236.82,NY,5.1,72000.0,1990.0,140.0,109.0,Credit Card,3000.0,0,15.35,Revolving Credit,0.0,Broker,1000,D,787,4,8.3,99.60000000000001,304500.0,0.0,1,1,0,0,0.25
100009,559068,0,3,2017,Phone,REF0000,Active2,7,2,1,0,36,41000.0,1.0,Full-time,Some College,Single,2,3416.67,792.19,339.57,0.331,0.3312468292682927,0.099,0.574,25141.2,25141.2,18658.8,1131.76,13581.119999999999,1.5219512195121951,87541.2,2284.91,NY,4.7,72000.0,1800.0,138.0,109.0,Mortgage,62400.0,360,5.12,Home Purchase,0.927,Branch,996,D,723,1,8.7,104.39999999999999,43800.0,0.0,1,1,0,0,0.239
100010,552642,3,6,2014,Phone,REF0000,Active1,16,1,1,1,49,38900.0,1.8,Full-time,Advanced,Married,0,3241.67,892.32,300.0,0.368,0.36781079691516716,0.093,0.27,11637.0,11637.0,31463.0,1192.32,14307.840000000002,0.2570694087403599,21637.0,2049.35,NJ,5.2,82000.0,2270.0,133.0,115.0,Credit Card,10000.0,0,17.79,Revolving Credit,0.0,Branch,1017,O,758,14,8.6,103.19999999999999,43100.0,0.0,0,0,0,0,0.31
100011,593174,20,1,2022,Email,REF0000,Active3,7,6,1,1,45,39800.0,5.4,Full-time,High School,Married,0,3316.67,453.67,396.0,0.256,0.25618190954773873,0.119,0.362,43838.2,43838.2,77261.8,849.67,10196.04,0.3316582914572864,57038.2,2466.9966666666664,NY,5.6,72000.0,1460.0,152.0,119.0,Credit Card,13200.0,0,17.64,Revolving Credit,0.0,Online,998,I,721,5,7.8,93.6,121100.0,0.0,3,3,0,0,0.163
100012,569819,17,4,2013,Phone,REF0000,Active1,9,1,1,1,31,36400.0,7.3,Full-time,Graduate,Married,0,3033.33,641.84,1355.01,0.658,0.6583021978021978,0.447,0.26,8606.0,8606.0,24494.0,1996.85,23962.199999999997,7.329670329670329,275406.0,1036.4833333333336,TX,4.4,61000.0,1300.0,109.0,88.0,Mortgage,266800.0,360,4.52,Home Purchase,0.816,Online,1002,E,746,10,13.0,156.0,33100.0,0.0,1,1,0,0,0.403
100013,642310,11,2,2018,Phone,REF0000,Active2,28,1,0,1,60,27700.0,7.4,Full-time,Bachelor,Married,3,2308.33,437.25,898.03,0.578,0.5784606498194945,0.389,0.064,2713.6,2713.6,39686.4,1335.28,16023.36,4.223826714801444,119713.6,973.0533333333335,NC,4.5,54000.0,1310.0,101.0,83.0,Mortgage,117000.0,180,4.55,Refinance,0.792,Online,1046,U,776,11,9.7,116.39999999999999,42400.0,0.0,0,0,0,0,0.26
100014,612841,3,2,2012,Email,REF0000,A01,10,0,1,1,40,57600.0,3.4,Full-time,Some College,Married,2,4800.0,1889.53,174.0,0.43,0.4299020833333333,0.036,0.63,89775.0,89775.0,52725.0,2063.53,24762.359999999997,0.10069444444444445,95575.0,2736.47,TN,3.4,53000.0,1200.0,101.0,87.0,Credit Card,5800.0,0,17.52,Revolving Credit,0.0,Broker,1074,A,726,11,7.1,85.19999999999999,142500.0,0.0,2,2,0,0,0.381
100015,560042,19,0,2023,Phone,REF0000,Active1,12,0,0,0,36,48900.0,5.4,Full-time,Some College,Single,1,4075.0,774.55,1666.36,0.599,0.5989963190184049,0.409,0.417,23185.2,23185.2,32414.8,2440.91,29290.92,0.38650306748466257,42085.2,1634.0900000000001,FL,4.2,55000.0,1450.0,110.0,89.0,Personal,18900.0,12,10.54,Debt Consolidation,0.0,Online,1086,T,758,11,1.1,13.200000000000001,55600.0,0.0,0,0,0,0,0.267
100016,642729,21,6,2021,Email,REF0000,Active3,19,4,1,1,45,33300.0,12.6,Full-time,Some College,Married,2,2775.0,1011.23,318.0,0.479,0.4790018018018018,0.115,0.367,22717.3,22717.3,39182.7,1329.23,15950.76,0.3183183183183183,33317.3,1445.77,OH,4.6,56000.0,1280.0,88.0,85.0,Unknown,10600.0,0,16.53,Revolving Credit,0.0,Online,1042,S,693,9,13.5,162.0,61900.0,0.0,1,1,0,0,0.309
