age,annual_income,employment_length,employment_type,education,marital_status,num_dependents,monthly_income,existing_monthly_debt,monthly_payment,debt_to_income_ratio,payment_to_income_ratio,credit_score,num_credit_accounts,num_delinquencies_2yrs,num_inquiries_6mo,recent_inquiry_count,credit_utilization,available_credit,loan_amount,loan_term,interest_rate,loan_to_value_ratio,total_debt_amount,monthly_free_cash_flow
57,52300.0,11.7,Self-employed,Some College,Divorced,0,4358.0,1024.36,522.79,0.355,0.12,770,8,0.0,1,1,0.354,90827.6,11300.0,24,10.26,0.0,61072.4,2811.18
41,45700.0,5.5,Self-employed,High School,Married,1,3808.33,1206.09,204.0,0.37,0.054,733,7,0.0,1,1,0.282,64907.2,6800.0,0,17.74,0.0,32292.8,2398.24
22,20000.0,4.4,Part-time,Graduate,Single,1,1666.67,259.53,102.0,0.217,0.061,660,0,0.0,5,5,0.377,20185.2,3400.0,0,19.42,0.0,15614.8,1305.14
27,44300.0,8.0,Full-time,High School,Single,1,3691.67,1117.2,360.0,0.4,0.098,605,14,0.0,0,0,0.365,24828.5,12000.0,0,20.95,0.0,26271.5,2214.47
32,41100.0,0.9,Full-time,Bachelor,Single,3,3425.0,712.04,1860.3,0.751,0.543,721,5,0.0,2,2,0.49,24429.0,279900.0,360,6.99,0.798,303371.0,852.66
32,49000.0,1.1,Contract,Graduate,Married,1,4083.0,542.74,96.0,0.156,0.024,725,2,0.0,2,2,0.253,72160.2,3200.0,0,16.87,0.0,27639.8,3444.59
35,68900.0,5.3,Self-employed,Graduate,Single,2,5742.0,681.29,2250.0,0.511,0.392,708,12,0.0,1,1,0.268,51825.6,384300.0,360,5.78,0.864,403274.4,2810.38
30,48200.0,7.5,Part-time,Bachelor,Married,0,4016.67,1459.12,692.41,0.536,0.172,708,8,0.0,2,2,0.439,18625.2,101500.0,360,7.25,0.741,116074.8,1865.14
52,102800.0,9.1,Full-time,Graduate,Divorced,0,8566.67,3239.85,90.0,0.389,0.011,787,4,0.0,1,1,0.153,257911.5,3000.0,0,15.35,0.0,49588.5,5236.82
36,41000.0,1.0,Full-time,Some College,Single,2,3416.67,792.19,339.57,0.331,0.099,723,1,0.0,1,1,0.574,18658.8,62400.0,360,5.12,0.927,87541.2,2284.91
49,38900.0,1.8,Full-time,Advanced,Married,0,3241.67,892.32,300.0,0.368,0.093,758,14,0.0,0,0,0.27,31463.0,10000.0,0,17.79,0.0,21637.0,2049.35
45,39800.0,5.4,Full-time,High School,Married,0,3316.67,453.67,396.0,0.256,0.119,721,5,0.0,3,3,0.362,77261.8,13200.0,0,17.64,0.0,57038.2,2466.9966666666664
31,36400.0,7.3,Full-time,Graduate,Married,0,3033.33,641.84,1355.01,0.658,0.447,746,10,0.0,1,1,0.26,24494.0,266800.0,360,4.52,0.816,275406.0,1036.4833333333336
60,27700.0,7.4,Full-time,Bachelor,Married,3,2308.33,437.25,898.03,0.578,0.389,776,11,0.0,0,0,0.064,39686.4,117000.0,180,4.55,0.792,119713.6,973.0533333333335
40,57600.0,3.4,Full-time,Some College,Married,2,4800.0,1889.53,174.0,0.43,0.036,726,11,0.0,2,2,0.63,52725.0,5800.0,0,17.52,0.0,95575.0,2736.47
36,48900.0,5.4,Full-time,Some College,Single,1,4075.0,774.55,1666.36,0.599,0.409,758,11,0.0,0,0,0.417,32414.8,18900.0,12,10.54,0.0,42085.2,1634.0900000000001
45,33300.0,12.6,Full-time,Some College,Married,2,2775.0,1011.23,318.0,0.479,0.115,693,9,0.0,1,1,0.367,39182.7,10600.0,0,16.53,0.0,33317.3,1445.77
52,40500.0,1.5,Part-time,Bachelor,Married,2,3375.0,395.97,546.96,0.279,0.162,765,21,0.0,2,2,0.078,34667.2,17100.0,36,9.4,0.0,20032.8,2432.07
30,41200.0,0.9,Unknown,Some College,Single,0,3433.33,489.93,3333.37,1.114,0.971,622,2,0.0,1,1,0.385,21709.5,443700.0,360,8.25,0.661,457290.5,-389.96666666666624
56,32200.0,2.6,Full-time,Advanced,Married,0,2683.0,872.3,2510.84,1.261,0.936,755,20,0.0,1,1,0.548,32453.6,434500.0,360,5.66,0.84,473846.4,-699.8066666666668
62,22600.0,6.1,Full-time,High School,Divorced,1,1883.33,656.83,1294.29,1.036,0.687,723,19,0.0,2,2,0.33,14941.0,27200.0,24,13.09,0.0,34559.0,-67.78666666666663
19,20000.0,1.7,Full-time,Some College,Single,2,1667.0,229.43,775.35,0.603,0.465,631,0,0.0,2,2,0.49,18258.0,22500.0,36,14.58,0.0,40042.0,661.8866666666668
43,38500.0,3.8,Full-time,Bachelor,Married,1,3208.33,903.6,210.0,0.347,0.065,718,7,0.0,0,0,0.436,37449.6,7000.0,0,16.93,0.0,35950.4,2094.73
47,59300.0,3.7,Full-time,Bachelor,Married,1,4941.67,1829.17,880.43,0.548,0.178,716,11,0.0,2,2,0.195,61099.5,134500.0,360,6.84,0.774,149300.5,2232.07
52,21400.0,5.0,Full-time,Bachelor,Married,0,1783.33,664.66,1006.14,0.937,0.564,700,14,0.0,1,1,0.429,20099.2,113700.0,180,6.75,0.683,128800.8,112.53
44,58500.0,9.4,Full-time,Bachelor,Married,1,4875.0,1318.43,66.0,0.284,0.014,744,6,0.0,2,2,0.631,69999.3,2200.0,0,17.39,0.0,121900.7,3490.57
34,78100.0,11.5,Full-time,Advanced,Single,0,6508.33,325.81,564.97,0.137,0.087,764,11,0.0,2,2,0.591,90838.9,22200.0,48,10.18,0.0,153461.1,5617.55
24,30700.0,1.3,Full-time,Advanced,Married,1,2558.33,270.33,360.01,0.246,0.141,688,0,0.0,2,2,0.836,4887.2,10800.0,36,12.25,0.0,35712.8,1927.99
48,78300.0,1.3,Full-time,Bachelor,Married,3,6525.0,482.37,890.93,0.21,0.137,796,11,0.0,0,0,0.542,121644.79999999999,27300.0,36,10.78,0.0,171255.2,5151.7
30,36800.0,6.7,Full-time,Bachelor,Single,0,3066.67,414.33,730.95,0.373,0.238,709,6,0.0,3,3,0.681,8517.3,21900.0,36,12.34,0.0,40082.7,1921.3866666666665
55,26100.0,7.0,Full-time,Bachelor,Married,1,2175.0,781.63,3198.6,1.83,1.471,765,16,0.0,1,1,0.56,32736.0,522800.0,360,6.19,0.85,564464.0,-1805.23
49,32900.0,10.7,Self-employed,Some College,Married,0,2742.0,730.03,2360.4,1.127,0.861,760,14,0.0,0,0,0.364,16345.2,385800.0,360,6.19,0.851,395154.8,-348.76
52,45300.0,8.3,Self-employed,Bachelor,Married,1,3775.0,1132.37,1522.06,0.703,0.403,690,9,0.0,3,3,0.437,25785.4,250900.0,360,6.11,0.909,270914.6,1120.57
44,43700.0,4.9,Full-time,High School,Single,1,3642.0,917.83,757.38,0.46,0.208,682,5,0.0,1,1,0.358,42500.4,27100.0,48,15.23,0.0,50799.6,1966.4566666666665
37,118900.0,1.5,Contract,Some College,Married,2,9908.33,2201.94,970.94,0.32,0.098,771,13,0.0,5,5,0.62,80446.0,20700.0,24,11.64,0.0,151954.0,6735.453333333334
33,31600.0,5.9,Part-time,Some College,Single,1,2633.33,315.0,561.72,0.333,0.213,756,5,0.0,1,1,0.515,18818.0,17300.0,36,10.43,0.0,37282.0,1756.61
30,72500.0,6.5,Self-employed,Graduate,Married,1,6041.67,2173.13,33.68,0.365,0.006,719,5,0.0,1,1,0.547,41993.1,1300.0,48,11.13,0.0,52006.9,3834.856666666667
39,37300.0,1.5,Unknown,Graduate,Married,1,3108.33,449.75,703.24,0.371,0.226,772,10,0.0,2,2,0.445,52614.0,21100.0,36,12.24,0.0,63286.0,1955.3433333333335
47,48500.0,3.7,Full-time,Graduate,Married,2,4041.67,259.77,207.0,0.115,0.051,736,10,0.0,4,4,0.444,47482.4,6900.0,0,16.73,0.0,44817.6,3574.8966666666665
36,38500.0,3.4,Full-time,Some College,Single,1,3208.33,661.03,492.0,0.359,0.153,766,14,0.0,1,1,0.67,36399.0,16400.0,0,16.76,0.0,90301.0,2055.3
45,33800.0,3.6,Part-time,Some College,Married,1,2816.67,751.31,339.0,0.387,0.12,681,10,0.0,4,4,0.473,40684.4,11300.0,0,18.9,0.0,47815.6,1726.3566666666666
39,73300.0,10.1,Unknown,Bachelor,Single,0,6108.0,1387.26,48.0,0.235,0.008,772,5,0.0,0,0,0.692,42565.6,1600.0,0,17.22,0.0,97234.4,4673.07
28,22300.0,4.5,Full-time,Some College,Married,3,1858.33,425.59,2103.82,1.361,1.132,670,1,0.0,2,2,0.486,27807.4,323700.0,360,6.77,0.781,349992.6,-671.08
36,34500.0,7.1,Full-time,High School,Married,0,2875.0,633.61,1470.36,0.732,0.511,666,15,0.0,0,0,0.394,52479.6,210700.0,360,7.48,0.691,244820.4,771.0300000000002
29,69400.0,4.8,Full-time,Graduate,Married,1,5783.33,1620.18,389.07,0.347,0.067,696,10,0.0,5,5,0.277,150528.6,17200.0,60,12.74,0.0,74871.4,3774.08
36,37100.0,1.8,Self-employed,Advanced,Single,1,3091.67,717.44,1422.27,0.692,0.46,738,7,0.0,2,2,0.706,31899.0,268600.0,360,4.88,0.778,345201.0,951.96
36,41400.0,5.1,Full-time,Graduate,Married,1,3450.0,426.91,572.48,0.29,0.166,707,2,0.0,1,1,0.249,72922.1,12300.0,24,10.86,0.0,36477.9,2450.6099999999997
20,20000.0,2.5,Full-time,Some College,Married,3,1666.67,160.88,1322.75,0.89,0.794,707,12,0.0,1,1,0.39,20984.0,206900.0,360,6.61,0.887,220316.0,183.04
54,47600.0,1.8,Self-employed,Bachelor,Divorced,1,3967.0,1133.37,99.0,0.311,0.025,745,9,0.0,1,1,0.112,35786.4,3300.0,0,17.06,0.0,7813.6,2734.3
49,46900.0,4.5,Full-time,Graduate,Single,1,3908.0,757.33,894.5,0.423,0.229,761,11,0.0,2,2,0.195,88872.0,27900.0,36,9.56,0.0,49428.0,2256.5
31,54300.0,9.3,Full-time,Some College,Married,2,4525.0,849.71,325.94,0.26,0.072,699,2,0.0,0,0,0.646,55471.8,9700.0,36,12.81,0.0,110928.2,3349.35
40,66800.0,6.7,Self-employed,Graduate,Married,1,5567.0,553.47,294.0,0.152,0.053,731,10,0.0,4,4,0.316,124351.2,9800.0,0,16.71,0.0,67248.8,4719.196666666667
19,20000.0,1.1,Part-time,High School,Single,2,1666.67,476.48,3992.07,2.681,2.395,612,6,1.0,3,3,0.515,11931.0,392900.0,180,9.03,0.869,405569.0,-2801.88
44,25800.0,8.4,Full-time,High School,Married,4,2150.0,309.91,728.76,0.483,0.339,718,9,0.0,1,1,0.672,20204.8,21700.0,36,12.77,0.0,63095.2,1111.33
